"시점","국적별(1)",국적별(2),관광
"2020.02","아시아주",소계,423296
"2020.02","미주",소계,35781
"2020.02","구주",소계,36379
"2020.02","대양주",소계,7053
"2020.02","아프리카",소계,1441
"2020.02","기타",소계,26
"2020.03","아시아주",소계,19719
"2020.03","미주",소계,5513
"2020.03","구주",소계,5657
"2020.03","대양주",소계,469
"2020.03","아프리카",소계,132
"2020.03","기타",소계,7
"2020.04","아시아주",소계,2440
"2020.04","미주",소계,1959
"2020.04","구주",소계,676
"2020.04","대양주",소계,47
"2020.04","아프리카",소계,13
"2020.04","기타",소계,0
"2020.05","아시아주",소계,2008
"2020.05","미주",소계,3079
"2020.05","구주",소계,984
"2020.05","대양주",소계,35
"2020.05","아프리카",소계,4
"2020.05","기타",소계,1
"2020.06","아시아주",소계,4305
"2020.06","미주",소계,3928
"2020.06","구주",소계,1468
"2020.06","대양주",소계,30
"2020.06","아프리카",소계,10
"2020.06","기타",소계,3
"2020.07","아시아주",소계,7462
"2020.07","미주",소계,3962
"2020.07","구주",소계,1212
"2020.07","대양주",소계,62
"2020.07","아프리카",소계,30
"2020.07","기타",소계,4
"2020.08","아시아주",소계,3584
"2020.08","미주",소계,3975
"2020.08","구주",소계,993
"2020.08","대양주",소계,39
"2020.08","아프리카",소계,41
"2020.08","기타",소계,2
"2020.09","아시아주",소계,5965
"2020.09","미주",소계,3724
"2020.09","구주",소계,866
"2020.09","대양주",소계,41
"2020.09","아프리카",소계,20
"2020.09","기타",소계,3
"2020.10","아시아주",소계,6173
"2020.10","미주",소계,3876
"2020.10","구주",소계,1010
"2020.10","대양주",소계,33
"2020.10","아프리카",소계,26
"2020.10","기타",소계,1
"2020.11","아시아주",소계,6067
"2020.11","미주",소계,4304
"2020.11","구주",소계,1029
"2020.11","대양주",소계,60
"2020.11","아프리카",소계,53
"2020.11","기타",소계,1
"2020.12","아시아주",소계,7254
"2020.12","미주",소계,3664
"2020.12","구주",소계,879
"2020.12","대양주",소계,60
"2020.12","아프리카",소계,36
"2020.12","기타",소계,0
"2021.01","아시아주",소계,5748
"2021.01","미주",소계,2346
"2021.01","구주",소계,890
"2021.01","대양주",소계,28
"2021.01","아프리카",소계,21
"2021.01","기타",소계,2
"2021.02","아시아주",소계,5386
"2021.02","미주",소계,2042
"2021.02","구주",소계,1009
"2021.02","대양주",소계,27
"2021.02","아프리카",소계,30
"2021.02","기타",소계,6
"2021.03","아시아주",소계,7010
"2021.03","미주",소계,2944
"2021.03","구주",소계,1138
"2021.03","대양주",소계,31
"2021.03","아프리카",소계,43
"2021.03","기타",소계,3
"2021.04","아시아주",소계,6514
"2021.04","미주",소계,3689
"2021.04","구주",소계,1174
"2021.04","대양주",소계,73
"2021.04","아프리카",소계,41
"2021.04","기타",소계,1
"2021.05","아시아주",소계,7376
"2021.05","미주",소계,6836
"2021.05","구주",소계,1103
"2021.05","대양주",소계,35
"2021.05","아프리카",소계,29
"2021.05","기타",소계,2
"2021.06","아시아주",소계,8355
"2021.06","미주",소계,8004
"2021.06","구주",소계,1371
"2021.06","대양주",소계,38
"2021.06","아프리카",소계,77
"2021.06","기타",소계,2
"2021.07","아시아주",소계,9714
"2021.07","미주",소계,8576
"2021.07","구주",소계,1924
